Name,Team,Pos,g,R,HR,RBI,SB,OBP,PA,H,BB
Shin-Soo Choo,TEX,OF,6.,2.985,0.718,2.45,0.055,0.346243514,26.595,5.671,2.926
Lucas Duda,NYM,1B,6.,2.701,0.92,2.916,0,0.344457783,24.984,5.427,2.68
Yoenis Cespedes,DET,OF,6.,3.052,0.979,2.64,0.302,0.303319518,26.301,6.647,1.198
Kyle Seager,SEA,3B,6.,2.559,0.968,2.867,0.149,0.337737738,24.977,6.244,1.917
Kendrys Morales,KC,1B,7.,2.683,0.826,2.848,0,0.315722289,28.202,6.591,2.086
Yasmany Tomas,ARI,3B/OF,6.,2.827,0.548,3.346,0.416,0.315239244,24.869,6.614,1.101
Ben Paulsen,COL,1B/OF,6.,2.693,0.941,2.995,0.033,0.325580438,24.296,6.183,1.606
Michael Brantley,CLE,OF,5.,2.506,0.477,2.951,0.709,0.369197746,22.36,6.089,2.011
Austin Jackson,SEA,OF,6.,3.01,0.403,2.36,1.015,0.302739371,26.979,6.375,1.657
Michael Taylor,WAS,OF,6.,3.435,0.677,1.83,0.912,0.288647753,26.542,5.645,1.725
John Jaso,TB,C,6.,2.906,0.551,2.123,0.218,0.376896053,24.194,5.732,3.145
Pedro Alvarez,PIT,1B/3B,6.,2.635,1.159,2.631,0.201,0.304657622,24.838,5.118,2.324
James Loney,TB,1B,6.,2.494,0.489,2.907,0.269,0.342822555,25.607,6.838,1.864
Matt Kemp,SD,OF,6.,2.891,0.778,2.283,0.407,0.31761105,25.483,6.164,1.802
Jung Ho Kang,PIT,SS/3B,6.,2.635,0.53,2.79,0.541,0.322809632,25.505,6.024,2.081
Ben Revere,PHI,OF,6.,2.93,0.054,1.672,1.725,0.327395391,26.383,7.599,0.932
Adam LaRoche,CHW,1B,6.,2.438,0.855,2.651,0.094,0.347510161,24.357,4.773,3.57
Miguel Montero,CHC,C,7.,2.643,0.605,2.601,0.056,0.335603668,26.283,5.302,3.124
Jose Altuve,HOU,2B,5.,2.636,0.301,1.938,1.673,0.355738659,22.331,6.65,1.184
Ryan Braun,MIL,OF,5.,2.812,0.813,2.772,0.553,0.331837294,21.168,5.264,1.612
Chris Coghlan,CHC,OF,7.,2.227,0.555,2.534,0.531,0.346761916,25.617,5.841,2.811
Xander Bogaerts,BOS,SS/3B,6.,2.812,0.398,3.124,0.26,0.305269443,26.797,6.632,1.308
Mitch Moreland,TEX,1B,6.,2.614,1.064,2.619,0.052,0.306352662,25.262,5.825,1.788
Brock Holt,BOS,1B/2B/SS/3B/OF,6.,2.894,0.194,2.359,0.52,0.328612001,27.464,6.538,2.379
Jason Kipnis,CLE,2B,5.,2.916,0.435,2.089,0.643,0.355840504,23.472,5.885,2.28
Alex Rodriguez,NYY,3B,5.,2.451,0.906,2.733,0.161,0.358999305,21.584,5.028,2.397
Josh Donaldson,TOR,3B,5.,2.719,0.985,2.336,0.131,0.339656168,22.512,5.26,2.139
Derek Norris,SD,C,6.,2.961,0.795,2.096,0.064,0.320147555,25.482,5.612,2.394
Jake Lamb,ARI,3B,6.,2.719,0.558,2.711,0.404,0.319380477,24.537,6.008,1.706
Billy Hamilton,CIN,OF,7.,1.828,0.253,1.66,3.188,0.284029389,25.865,5.815,1.481
Brandon Crawford,SF,SS,6.,2.431,0.669,2.651,0.312,0.328877989,24.467,5.77,2.057
Edwin Encarnacion,TOR,1B,5.,2.453,1.069,2.744,0.05,0.335420561,21.401,4.547,2.502
Ian Kinsler,DET,2B,6.,3.146,0.362,2.077,0.365,0.310590329,26.967,6.545,1.641
Michael Cuddyer,NYM,1B/OF,6.,2.381,0.665,2.654,0.136,0.337000815,24.54,6.535,1.662
Salvador Perez,KC,C,7.,2.474,0.985,2.481,0.068,0.289012071,27.424,7.017,0.772
Jacoby Ellsbury,NYY,OF,5.,2.629,0.407,1.806,1.417,0.337475215,22.694,5.701,1.798
Yunel Escobar,WAS,SS/3B,6.,3.015,0.268,2.32,0.088,0.337413269,25.654,6.613,1.837
Adam Eaton,CHW,OF,6.,2.846,0.271,1.981,0.473,0.332099139,26.469,6.42,1.92
Logan Forsythe,TB,1B/2B,6.,2.434,0.537,2.564,0.461,0.317519981,25.274,5.515,2.08
Yasmani Grandal,LAD,C/1B,6.,2.496,0.855,2.658,0.058,0.380232023,19.567,4.533,2.809
Wilson Ramos,WAS,C,6.,2.644,0.791,2.992,0,0.298466346,24.321,6.086,1.149
David Peralta,ARI,OF,6.,3.003,0.601,2.226,0.304,0.329446701,22.901,5.663,1.745
Cesar Hernandez,PHI,2B/SS/3B,6.,2.759,0.101,1.841,0.839,0.342704931,25.717,6.165,2.493
Kris Negron,CIN,2B/SS/3B/OF,7.,2.147,0.626,2.296,0.679,0.308757836,26.642,5.669,2.157
Ryan Howard,PHI,1B,6.,2.613,0.863,2.941,0,0.291502625,24.385,4.891,1.972
Cameron Maybin,ATL,OF,6.,2.763,0.391,1.872,0.89,0.311348736,25.621,5.942,1.881
Brian Dozier,MIN,2B,5.,2.737,0.836,1.889,0.473,0.322014665,22.912,4.798,2.282
Manny Machado,BAL,3B,5.,2.691,0.701,1.94,0.638,0.328401187,22.572,5.794,1.551
Nick Markakis,ATL,OF,6.,2.572,0.247,2.592,0.046,0.349418441,24.844,6.04,2.518
Addison Russell,CHC,2B/SS,7.,2.28,0.564,2.095,0.297,0.312791114,27.91,5.94,2.371
Mike Napoli,BOS,1B,6.,2.187,0.894,2.028,0.203,0.338499793,24.13,4.585,3.367
Johnny Giavotella,LAA,2B,6.,3.3,0.251,2.082,0.153,0.297467198,27.36,6.339,1.582
Adeiny Hechavarria,MIA,SS,6.,3.02,0.195,2.524,0.206,0.307969487,26.084,6.752,1.228
Jace Peterson,ATL,2B/3B,6.,2.893,0.23,1.541,0.789,0.319931533,26.29,5.872,2.33
Adam Jones,BAL,OF,5.,2.385,0.925,2.736,0.181,0.314972739,21.461,5.718,0.72
Mark Teixeira,NYY,1B,5.,2.385,1.049,2.575,0.045,0.322143502,21.029,4.058,2.443
Carlos Gomez,MIL,OF,5.,2.21,0.676,2.474,0.877,0.338059591,20.169,5.122,1.233
Carlos Correa,HOU,SS,5.,2.373,0.595,2.699,0.673,0.318316762,21.22,5.377,1.059
Brett Gardner,NYY,OF,5.,2.416,0.49,2.11,0.747,0.33962605,22.139,5.313,1.963
Alex Avila,DET,C,6.,2.387,0.587,2.316,0.024,0.332263374,24.3,4.385,3.569
Jhonny Peralta,STL,SS,5.,2.57,0.612,2.579,0.059,0.342344453,21.343,5.365,1.835
Stephen Vogt,OAK,C/1B/OF,5.,2.616,0.825,2.204,0.025,0.330708661,21.967,5.272,1.904
Billy Burns,OAK,OF,5.,2.627,0.177,1.809,1.415,0.322202487,22.522,5.954,0.852
Wilmer Flores,NYM,2B/SS,6.,2.575,0.535,2.954,0.047,0.285487582,25.208,6.079,0.964
Jose Reyes,TOR,SS,5.,2.703,0.288,1.839,1.064,0.315575014,23.067,5.981,1.274
Chris Davis,BAL,1B/3B/OF,5.,2.387,1.097,2.517,0,0.306849708,20.905,3.938,2.206
Cole Gillespie,MIA,OF,6.,2.283,0.505,2.415,0.461,0.312349473,24.082,5.314,1.944
Evan Gattis,HOU,C/OF,5.,2.388,1.134,2.698,0,0.29156988,20.665,4.855,0.922
Jonathan Lucroy,MIL,C/1B,5.,2.748,0.471,1.965,0.068,0.352329221,21.725,5.456,2.088
Miguel Sano,MIN,SS/3B,5.,2.159,0.887,2.46,0.262,0.315951356,21.135,4.561,1.841
David Freese,LAA,3B,6.,2.297,0.533,2.3,0.08,0.321058925,24.249,5.634,1.764
Brandon Moss,CLE,1B/OF,5.,2.228,1.097,2.18,0,0.324200251,20.693,4.308,2.131
Domonic Brown,PHI,OF,6.,2.274,0.651,2.423,0.299,0.299127282,23.718,5.324,1.699
Ben Zobrist,OAK,2B/SS/OF,5.,2.311,0.35,2.601,0.164,0.353792975,21.411,5.15,2.319
